"Timestamp","What is your University?","What is your Studying Degree Programme?","Do you wish to do higher studies?","Place interest to work","How far should you hope live from work?","Expecting salary range?","Wish to work sector?","Wish to work industry field?","Wish to work industry field job?","In a Department which  position would u prefer?"
"2018/08/05 8:39:08 PM GMT+5:30","SLIIT","Data Science","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Sciencetist","group leader"
"2018/08/07 1:27:36 PM GMT+5:30","SLIIT","Bcs it","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","group leader"
"2018/08/07 1:29:10 PM GMT+5:30","University of Peradeniya","Bad Hons In Information Technology Specialized In Software Engineering ","Yes","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/07 1:29:25 PM GMT+5:30","Google","I dnt care ","No","Home country","Less than 5 km","Gather than Rs. 150 000","Private","Engineering","Entrepreneur ","other"
"2018/08/07 1:29:28 PM GMT+5:30","SLIIT","Yes ","No","abroad","Less than 5 km","Gather than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/07 1:29:46 PM GMT+5:30","SLIIT","Yes ","No","abroad","Less than 5 km","Gather than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/07 1:31:51 PM GMT+5:30","SLIIT","Cyber security ","Maybe","Home country","Less than 5 km","Gather than Rs. 150 000","Private","IT","Data Sciencetist","head"
"2018/08/07 1:32:02 PM GMT+5:30","SLIIT","BEng in Software Engineering","Yes","abroad","Gather than 30 km","Rs.50 000 to 100 000","Private","IT","Software Engineer","other"
"2018/08/07 1:33:43 PM GMT+5:30","University of Jaffna","B.Sc Computer Science","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Entrepreneur","other"
"2018/08/07 1:35:07 PM GMT+5:30","SLIIT","Cyber Security ","Yes","abroad","5 km to 10 km","Rs.50 000 to 100 000","Private","IT","Business Anaylist","assistant head"
"2018/08/07 1:50:12 PM GMT+5:30","SLIIT","Cyber Security ","Maybe","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","IT","security related or it audit ","other"
"2018/08/07 1:52:40 PM GMT+5:30","SLIIT","Bsc hons in data science","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Data Sciencetist","group leader"
"2018/08/07 2:09:57 PM GMT+5:30","SLIIT","Software Engineering","Yes","Home country","Less than 5 km","Gather than Rs. 150 000","Private","IT","Software Engineer","head"
"2018/08/07 2:23:23 PM GMT+5:30","University of Moratuwa","Bsc(hons) in Information Technology","Maybe","Home country","Less than 5 km","Rs.100 000 to 150 000","Private","IT","Software Engineer","assistant head"
"2018/08/07 2:50:14 PM GMT+5:30","University of Peradeniya","Engineering","Yes","Home country","5 km to 10 km","Rs.50 000 to 100 000","Goverment","Engineering","Engineer","assistant head"
"2018/08/07 3:16:01 PM GMT+5:30","SLIIT","Bsc In IT","Yes","abroad","5 km to 10 km","Rs.25 000 to 50 000","Goverment","IT","Software Engineer","group leader"
"2018/08/07 3:38:48 PM GMT+5:30","University of Moratuwa","B.Sc (hons) in IT & M","Yes","abroad","5 km to 10 km","Gather than Rs. 150 000","Private","IT","Software Engineer","head"
